CAS_Number,YR.1987,YR.1988,YR.1989,YR.1990,YR.1991,YR.1992,YR.1993,YR.1994,YR.1995,YR.1996,YR.1997,YR.1998,YR.1999,YR.2000,YR.2001,YR.2002,YR.2003,YR.2004,YR.2005,YR.2006,YR.2007,YR.2008,YR.2009,YR.2010,YR.2011,YR.2012,YR.2013,YR.2014,YR.2015,YR.2016,YR.2017
108952,3669,3738,3104,3594,2964,2534,2197,1615,4482,2715,2482,3046,1187,2062,2622,2859,1748,2264.3,1075.115,1277,1134,180.4,135,147,145.03,156.38,156.38,265.49,181.18,109.14,111.5
7439921,787,750,750,405,358,411,218,674,139,375,26,18,34,291,403.541,1225.531203,699.5699,99.379,118.2707,70.7303,548.1517,430.652,65.0059,122.7802,81.3975,39.5045,39.5045,16.3576,34.6135,17.676,29.715
7440508,1818,3875,237,1508,335,306,689,726,332,462,588,579,312,1349.21,908,954.622529,690.4020036,699.058,438.9081,611.665,589.366,429.969,347.909,385.639,329.651,322.469,322.469,50.5475,50.2546,42.5089,42.7524
110543,0,0,0,0,0,0,0,0,0,28,33,164,860,907,403,410.2,479,254.2,289.89,378,322,228.32,3,18.2,7.3,13.33,13.33,4.2,14.53,8.67,2.64
